0,7136.38,10340
1,7684.38,10340
2,7935.14,10340
3,7606.97,10340
4,7588.89,10340
5,6906.22,10340
6,7851.75,10340
7,7823.79,10340
8,7521.6,10340
9,7456.11,10340
10,7643.47,10340
11,7297.51,10340
12,7363.81,10340
13,7474.6,10340
14,7692.11,10340
15,8378.28,10340
16,7775.06,10340
17,7736.77,10340
18,7754.39,10340
19,7263.46,10340
20,7791.58,10340
21,8041.43,10340
22,7287.31,10340
23,7867.43,10340
24,7105.07,10340
25,7420.36,10340
26,7313.42,10340
27,7490.61,10340
28,6874.57,10340
29,6970.54,10340
30,7802.89,10340
31,7551.91,10340
32,7081.63,10340
33,7703.23,10340
34,7735.78,10340
35,8070.14,10340
36,7458.87,10340
37,8121.09,10340
38,6928.65,10340
39,7808.08,10340
40,8718.6,10340
41,7788.58,10340
42,7682.74,10340
43,7875.19,10340
44,7856.9,10340
45,7924.5,10340
46,7800.16,10340
47,7440.59,10340
48,7837.75,10340
49,7316.31,10340
50,8190.79,10340
51,7797.58,10340
52,7986.73,10340
53,7593.9,10340
54,7654.31,10340
55,7891.19,10340
56,6748.22,10340
57,7521.94,10340
58,7877.25,10340
59,7261.1,10340
60,8003.93,10340
61,8186.19,10340
62,7144.81,10340
63,7419.09,10340
64,8003.63,10340
65,7749.33,10340
