((2, 133), 0)
((2, 132), 0)
((4, 131), 0)
((4, 130), 0)
((4, 129), 0)
((6, 128), 0)
((6, 127), 0)
((6, 126), 0)
((8, 126), 0)
((10, 126), 0)
((12, 126), 0)
((12, 127), 0)
((14, 128), 0)
((14, 129), 0)
((14, 130), 0)
((16, 131), 0)
((16, 132), 0)
((16, 133), 0)
((18, 134), 0)
((18, 136), 0)
((18, 138), 0)
((20, 140), 0)
((20, 142), 0)
((20, 144), 149)
((22, 145), 149)
((22, 143), 149)
((22, 141), 149)
((24, 139), 149)
((24, 137), 149)
((24, 135), 149)
((26, 133), 149)
((26, 131), 149)
((26, 129), 149)
((28, 128), 149)
((28, 127), 149)
((28, 126), 149)
((30, 125), 149)
((30, 124), 149)
((30, 123), 149)
((32, 122), 149)
((32, 121), 149)
((34, 121), 149)
((36, 121), 149)
((38, 121), 149)
((38, 122), 149)
((38, 123), 149)
((40, 124), 149)
((40, 125), 149)
((40, 126), 149)
((42, 127), 149)
((42, 128), 149)
((42, 129), 149)
((44, 131), 149)
((44, 133), 149)
((44, 135), 149)
((46, 137), 297)
((46, 135), 297)
((46, 133), 297)
((48, 131), 297)
((48, 129), 297)
((48, 127), 297)
((50, 125), 297)
((50, 123), 297)
((50, 121), 297)
((52, 120), 297)
((52, 119), 297)
((52, 118), 297)
((54, 117), 297)
((54, 116), 297)
((54, 115), 297)
((56, 114), 297)
((56, 113), 297)
((58, 113), 297)
((60, 113), 444)
((62, 113), 591)
((62, 114), 591)
((62, 112), 591)
((62, 110), 591)
((62, 108), 591)
((62, 106), 591)
((62, 104), 591)
((62, 102), 591)
((62, 100), 591)
((62, 98), 591)
((62, 97), 591)
((62, 96), 591)
((62, 95), 591)
((62, 94), 591)
((62, 93), 591)
((62, 92), 737)
((62, 91), 737)
((62, 90), 737)
((62, 88), 737)
((62, 86), 737)
((60, 84), 737)
((60, 82), 737)
((60, 80), 737)
((58, 79), 737)
((58, 78), 737)
((58, 77), 737)
((56, 76), 737)
((56, 75), 737)
((56, 74), 737)
((54, 73), 737)
((54, 72), 737)
((52, 72), 737)
((50, 72), 737)
((48, 72), 737)
((48, 73), 737)
((48, 74), 737)
((46, 75), 737)
((46, 76), 737)
((46, 77), 737)
((44, 78), 737)
((44, 79), 737)
((44, 80), 882)
((42, 81), 882)
((42, 80), 882)
((42, 79), 882)
((40, 78), 882)
((40, 77), 882)
((40, 76), 882)
((38, 76), 882)
((36, 76), 882)
((34, 76), 882)
((34, 77), 882)
((32, 78), 882)
((32, 79), 882)
((32, 80), 882)
((30, 81), 882)
((30, 82), 882)
((30, 83), 882)
((28, 84), 882)
((28, 86), 1026)
((28, 88), 1026)
((26, 90), 1026)
((26, 92), 1026)
((26, 94), 1026)
((24, 96), 1170)
((24, 98), 1170)
((24, 100), 1170)
((22, 101), 1170)
((22, 99), 1170)
((22, 97), 1170)
((20, 95), 1170)
((20, 93), 1170)
((20, 91), 1170)
((18, 89), 1313)
((18, 88), 1313)
((18, 87), 1456)
((16, 86), 1456)
((16, 85), 1456)
((16, 84), 1456)
((14, 83), 1456)
((14, 82), 1456)
((14, 81), 1456)
((12, 81), 1456)
((10, 81), 1456)
((8, 81), 1456)
((8, 82), 1456)
((6, 83), 1599)
((6, 84), 1599)
((6, 85), 1599)
((4, 86), 1599)
((4, 87), 1599)
((4, 88), 1599)
((2, 89), 1599)
((2, 91), 1599)
((2, 89), 1599)
((2, 87), 1599)
((2, 86), 1599)
((2, 85), 1599)
((2, 84), 1599)
((2, 83), 1599)
((2, 82), 1599)
((2, 81), 1599)
